id,name,winrate,matches,avg elims,avg balls,avg wart,score
2906,soda,61.54%,52,0,5.15,0.47,23000
7858,Maomao,78.85%,52,0.94,0.17,220.52,22520
8260,BIN Diesel,61.54%,52,0.94,0.12,286.68,21560
6820,Mononoku,53.85%,52,0,5.06,0.03,21550
8575,Migatte Seishin,73.08%,52,0.79,0.12,247.36,21460
8887,Shado,61.54%,52,1.17,0.1,249.37,21345
1521,UlquiorrA,63.46%,52,0.88,0.13,271.98,21220
2575,Peeltergeist,63.46%,52,0.9,0.06,278.05,21190
4193,MahoShojo,51.92%,52,0,5,0.1,21100
8086,Maid of Shadows,65.38%,52,0.85,0.1,261.74,20990
6414,APPLE,57.69%,52,1.83,1.63,6.81,20940
6100,Sir Pochington,48.08%,52,0,5.1,0.16,20750
4602,Wizard Boi,61.54%,52,0.98,0.08,253.32,20630
523,Goldilocks,61.54%,52,1,0.1,241.27,20535
3672,Yishu,59.62%,52,0.98,0.1,256.46,20425
8530,Toast,65.38%,52,0.83,0.12,239.23,20240
7008,Chef Maki,59.62%,52,0.85,0.08,266.32,20175
3186,The Last Samurai,44.23%,52,0.04,5.04,0,20160
5885,Smiley,51.92%,52,0,4.62,0,20100
6191,Antithei,46.15%,52,0,4.92,0.13,20000
3432,Long Dinger,63.46%,52,0.75,0.06,251.11,19830
1029,Midnight,63.46%,52,1.19,0.15,175.3,19805
1863,Mr Teabag,57.69%,52,2.56,0.04,3.82,19785
2660,Samurai Boi,46.15%,52,0.08,4.71,0.86,19770
1787,KOHI,61.54%,52,0.87,0.15,234.04,19765
3563,Cry Bunny,65.38%,52,0.81,0.12,219.38,19755
5534,Mozy,59.62%,52,2.38,0.12,9.2,19700
8833,MINOZ,53.85%,52,1.08,0.1,248.21,19700
984,Mr Carrot,63.46%,52,0.77,0.08,243.04,19690
7181,Gruyere,44.23%,52,0,4.9,0.36,19650
3836,Amber,42.31%,52,0.02,4.98,0.19,19630
5755,Keanu,53.85%,52,0.85,0.13,276.85,19605
4816,Vagabond,44.23%,52,0.44,3.87,29.69,19510
3185,Lucid,57.69%,52,0.83,0.12,255.02,19490
5809,The Champ MoTZ,57.69%,52,1.02,0.12,226.5,19480
5078,CAPOEIRA,44.23%,52,0.04,4.77,0,19460
1868,Angrybread,57.69%,52,0.98,0.13,226.12,19460
6300,Dango,44.23%,52,0,4.81,0.17,19400
1270,Low Tier Phenom,55.77%,52,2.37,0.17,17.3,19395
2188,MOSE,63.46%,52,1.06,0.08,185.3,19360
4819,akuma,57.69%,52,0.83,0.08,243.76,19255
1055,THANK U 4 PLAYIN,55.77%,52,0.6,0.12,296.93,19220
235,SuperMagus,59.62%,52,1.04,0.08,208.67,19220
2828,Joy Boy,65.38%,52,0.92,0.06,190.72,19185
6882,Fuoco Fatuo,51.92%,52,0.67,0.06,301.02,19150
4813,Milo Thatch,63.46%,52,0.79,0.1,218.53,19145
392,Teardrop,40.38%,52,0.02,4.9,0,19130
8717,Caipirinha Time,53.85%,52,1,0.12,237.55,19115
3320,Specter,57.69%,52,1.1,0.17,193.11,19050
1454,Peelbert Grumps,48.08%,52,0.06,4.35,0.2,19040
7247,Sam Nielbyyy,57.69%,52,0.9,0.12,224.9,19000
1569,Sir Carrotstein,63.46%,52,0.81,0.1,207.61,19000
8587,The Peelomancer,38.46%,52,0,4.98,0,18950
5168,Nisheep,63.46%,52,0.77,0.1,217.83,18930
6913,Butthole Moki,55.77%,52,2.25,0.13,18.81,18905
7254,Nomad,55.77%,52,0.88,0.13,238.98,18850
8044,Mad Scientist,51.92%,52,1.33,0.12,189.26,18825
939,Pengu,44.23%,52,0,4.58,0,18800
6777,Roninku,36.54%,52,0.04,4.94,0.32,18710
857,Shine,61.54%,52,0.92,0.15,190.99,18700
4011,Shadowstorm,57.69%,52,1.21,0.02,180.97,18680
7021,Poo Licker,55.77%,52,0.69,0.12,260.58,18675
368,DUNG SHOGUN,57.69%,52,0.79,0.15,228.79,18665
7942,Extra Onions,55.77%,52,1.08,0.15,202.91,18665
4509,KingOfRatz,40.38%,52,0,4.73,0.03,18600
2284,67,61.54%,52,0.75,0.17,210.58,18570
6066,Zaris,57.69%,52,0.92,0.04,216.92,18565
1235,Bio Phantom,53.85%,52,0.9,0.1,232.57,18530
3246,Kroni,48.08%,52,1.19,2.21,17.18,18525
4177,Ronin Spirit,55.77%,52,0.71,0.13,248,18490
6014,YP The Fearless,61.54%,52,0.88,0.13,194.25,18490
3841,SMG Loves You,34.62%,52,0,5.02,0,18450
2730,Valkyrie,36.54%,52,0,4.88,0.44,18400
4258,Starfluff,38.46%,52,0,4.75,0.24,18350
1176,Fortune Gobbler,38.46%,52,0,4.75,0.09,18350
8016,Lil MC Moki,38.46%,52,0,4.75,0.89,18350
4407,BenDan,57.69%,52,0.69,0.08,245.14,18335
6821,24K,59.62%,52,0.77,0.12,218.21,18335
7338,Mokuna,50%,52,2.52,0.02,0,18330
6009,Filthy,38.46%,52,0,4.73,0.16,18300
227,The Golden Boy,42.31%,52,0.02,4.31,13.48,18240
7947,CitraVale,36.54%,52,0,4.81,0,18200
7405,Somber,53.85%,52,0.69,0.12,247.86,18195
1105,Golden Purps,59.62%,52,0.65,0.12,224.63,18170
8509,Rynnie,53.85%,52,0.83,0.08,233.96,18160
8097,Guppy93Allan,34.62%,52,0,4.88,0.33,18100
8415,Golden Delicious,53.85%,52,0.98,0.06,214.57,18075
1133,Bearish,36.54%,52,0.04,4.69,0.07,18060
5193,Red Whine,51.92%,52,0.75,0.12,245.02,17955
3080,Shadrel Kagekin,53.85%,52,0.88,0.06,218.83,17900
5256,Golden Nugget,51.92%,52,0.62,0.12,260.5,17890
6142,Garrison,53.85%,52,0.85,0.04,223.78,17870
5925,Rae,42.31%,52,0,4.33,0.19,17850
3722,Moki Fanatic,55.77%,52,0.77,0.12,215.92,17825
1173,BadAss,51.92%,52,0.81,0.13,230.77,17795
670,Tea Bone,59.62%,52,0.77,0.17,188.76,17765
8401,I WILL FARM U,48.08%,52,0.77,0.5,221.02,17760
987,sweet90s,59.62%,52,1.85,0.19,12.22,17750
8642,MAKE,32.69%,52,0.02,4.83,0,17730
3847,Stark,53.85%,52,0.67,0.04,241.2,17690
8411,Bun Bun,53.85%,52,2.08,0.06,22.95,17685
5710,Fernecito,50%,52,0.38,1.71,151.08,17675
5125,Fire Moki,50%,52,0.94,0.1,218.04,17640
4919,Moki Pochi Moki,55.77%,52,0.62,0.04,237.78,17615
73,Trippy,34.62%,52,0,4.69,0.04,17600
1444,Zombina,50%,52,2.12,0.12,27.68,17575
4642,Neuty,36.54%,52,0.04,4.48,0.22,17510
5249,One,34.62%,52,0,4.65,0.29,17500
3284,Cammyyy,50%,52,0.81,0.13,231.42,17495
4597,Dr Shroom,50%,52,1.27,1.63,6,17465
8277,Palmer,48.08%,52,0.96,0.1,223.66,17465
4437,Numbskull,46.15%,52,0.58,2.08,95.17,17430
1749,Stone of David,36.54%,52,0,4.5,0.35,17400
2288,MOKIPACK,36.54%,52,0,4.5,0,17400
5960,Its Madam,57.69%,52,0.56,0.15,222.06,17390
6606,Dark Lord Moki,55.77%,52,0.85,0.13,179.1,17340
7303,Straw Barry,61.54%,52,0.75,0.13,167.61,17300
4772,Milky,51.92%,52,1.33,0.46,94.5,17295
5705,Fenrir,48.08%,52,1.13,0.12,179.62,17290
3624,Animo,46.15%,52,0.9,0.08,233.37,17235
3527,69,51.92%,52,0.77,0.15,218.07,17235
7215,Krampy,51.92%,52,0.73,0.04,225.67,17225
964,Shady,53.85%,52,0.98,0.04,175.29,17215
3932,Citrus,44.23%,52,1.04,2.15,15.45,17180
467,Salvador Dali,50%,52,0.94,0.17,195.4,17120
4341,Mushroom Glasses,50%,52,0.83,0.1,217.03,17115
4246,deadlykitten,32.69%,52,0,4.6,0,17050
6602,Miyamoto Musashi,30.77%,52,0,4.71,0.77,17050
2485,SinTank,51.92%,52,0.81,0.15,200.21,16990
4137,Clutch,50%,52,0.62,0.06,242.09,16945
2,Two,46.15%,52,0.92,0.08,217.87,16910
2661,Mokuhadely,28.85%,52,0.06,4.65,0.02,16840
3340,SweetPotato,48.08%,52,0.6,0.54,207.33,16825
316,Maid of Coins,51.92%,52,1.38,0.77,37.83,16805
6536,Rainbow Queen,46.15%,52,0.87,0.08,218.23,16760
962,Mokiwitch,55.77%,52,1.73,0.15,19.19,16750
7608,Sydney,46.15%,52,1.06,1.21,79.02,16730
1071,Lil Tomato,50%,52,0.77,0.13,203.89,16615
8180,Dheu,50%,52,1.98,0.1,12.69,16605
7958,Borealis,26.92%,52,0,4.75,0.01,16550
5890,Uni,55.77%,52,0.79,0.02,164.44,16440
4434,Sweatin Simmons,50%,52,1.88,0.06,28.78,16420
3582,Mushi,46.15%,52,1,0.08,189.53,16375
8579,Tamanuki,30.77%,52,0.04,4.38,0,16360
6221,UnderdogByDesign,48.08%,52,0.44,1.38,135.18,16315
7804,Oniki,40.38%,52,1.73,0.67,39.87,16285
1001,Burns Wenipee,51.92%,52,0.92,0.12,157.91,16245
807,Banana Mogger,50%,52,1.9,0.12,7.85,16110
8759,WillOfD,28.85%,52,0.02,4.42,0,16080
818,POOtaTurd,40.38%,52,1.83,0.42,44.35,16080
6259,BLAZIN ACE,50%,52,0.54,0.15,222.62,16065
6293,Karpathy,48.08%,52,1.9,0.19,4.99,16055
5232,The Destroyer,25%,52,0,4.63,0,15950
3717,Artist Moki,50%,52,0.85,0.02,175.7,15915
5050,Sleepy Gary,50%,52,1.83,0.13,7.36,15840
539,Bloodmoon,50%,52,0.56,0.15,206.28,15785
1826,Mokington,46.15%,52,1.94,0.17,3.39,15775
7370,Hoppi,25%,52,0,4.56,0,15750
1494,Spartacus,44.23%,52,0.81,0.06,209.2,15720
7691,Ruddy,51.92%,52,0.5,0.12,203.94,15565
1600,Not Nisheep,38.46%,52,1,1.96,14.48,15530
6824,Ryu Ganken,48.08%,52,1.81,0.15,4.93,15510
298,Defrankong,50%,52,1.73,0.17,3.2,15495
6769,Not a Raccoon,50%,52,1.73,0.08,12.33,15470
4784,Poop Digger,36.54%,52,0.77,1.75,79,15340
5110,Mugsy,48.08%,52,0.6,0.06,201.28,15260
7360,Kintama,40.38%,52,0.67,1.71,73.33,15260
561,Eggsy,46.15%,52,1.88,0.04,4.05,15230
1095,Nakimushi,48.08%,52,1.69,0.17,10.87,15215
2755,Dracumoki,42.31%,52,1.88,0.15,14.98,15200
1418,PNLS,46.15%,52,0.63,0.12,190.1,15090
3145,FizzyTwinTails,44.23%,52,1.87,0.08,10.39,15085
5031,BADSPEED,40.38%,52,1.92,0.17,13.16,15065
3015,Gambit,36.54%,52,0.69,0.13,234.96,15050
6025,Kuroshi,48.08%,52,0.54,0.06,199.02,15020
7302,MK Ultra 8888,44.23%,52,0.58,0.12,208.02,14910
446,Sir Brew,40.38%,52,1.94,0.1,11.51,14855
5504,JOEHNINGUS,40.38%,52,1.69,0.1,18.02,13995
8316,Fishoo,40.38%,52,1.71,0.1,8.11,13850
